"taxon","diff_(Intercept)","diff_RFIClass2MidRFI","diff_RFIClass3HighRFI","diff_robust_(Intercept)","diff_robust_RFIClass2MidRFI","diff_robust_RFIClass3HighRFI"
"PWY-7977",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"PWY-7992",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"PWY-8004",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"PWY-801",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"PWY-8011",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"PWY-8020",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"PWY-8055",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"PWY-8073",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"PWY-8131",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"PWY-8178",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"PWY-8187",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"PWY-8190",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"PWY-821",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"PWY-822",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"PWY-841",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"PWY-922",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"PWY-I9",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"PWY0-1061",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"PWY0-1241",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"PWY0-1261",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"PWY0-1296",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"PWY0-1297",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"PWY0-1319",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"PWY0-1337",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"PWY0-1415",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"PWY0-1477",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"PWY0-1479",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"PWY0-1533",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"PWY0-1586",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"PWY0-162",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"PWY0-301",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"PWY0-321",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"PWY0-41",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"PWY0-42",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"PWY0-781",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"PWY0-845",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"PWY0-862",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"PWY1G-0",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"PWY1ZNC-1",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"PWY3O-4107",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"PWY490-3",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"PWY4FS-7",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"PWY4FS-8",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"PWY4LZ-257",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"PWY66-367",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"PWY66-388",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"PWY66-389",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"PWY66-391",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"PWY66-399",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"PWY66-409",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"PWY6666-2",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"PYRIDNUCSAL-PWY",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"PYRIDNUCSYN-PWY",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"PYRIDOXSYN-PWY",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"REDCITCYC",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"RHAMCAT-PWY",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"RIBOSYN2-PWY",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"RUMP-PWY",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"SALVADEHYPOX-PWY",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"SER-GLYSYN-PWY",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"SO4ASSIM-PWY",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"SUCSYN-PWY",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"SULFATE-CYS-PWY",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"THISYNARA-PWY",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"THRESYN-PWY",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"TRNA-CHARGING-PWY",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"TYRFUMCAT-PWY",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"UDPNAGSYN-PWY",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"URDEGR-PWY",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"URSIN-PWY",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"VALSYN-PWY",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
